txn_id,customer_id,payee_id,amount,hour_of_day,is_new_payee,is_new_device,is_loc_changed,valid_otp,social_scam_score,behavior_deviation,label_is_fraud,scam_scenario_id
TXN-100001,2066,PAY-5529,1208.99,16,False,False,False,True,0.06,0.45,False,0
TXN-100002,10941,PAY-5355,5819.39,20,False,False,False,True,0.01,0.87,False,0
TXN-100003,7062,PAY-6177,2730.6,7,False,False,False,True,0.53,1.13,False,0
TXN-100004,1853,PAY-6204,1129.41,9,False,False,False,True,0.02,0.86,False,0
TXN-100005,6152,PAY-5317,1396.11,12,False,False,False,True,0.03,1.3,False,0
TXN-100006,2428,PAY-5606,3697.57,10,False,False,False,True,1.77,1.02,False,0
TXN-100007,6446,PAY-5730,840.38,10,False,False,False,True,0.56,1.21,False,0
TXN-100008,6255,PAY-5458,1007.04,13,True,False,False,True,1.18,0.5,False,0
TXN-100009,1169,PAY-5922,4594.8,17,False,False,False,True,3.1,-0.4,False,0
TXN-100010,1778,PAY-6263,4146.38,22,False,False,False,True,2.64,1.53,False,0
TXN-100011,9996,PAY-5621,981.04,14,False,False,False,True,0.09,0.27,False,0
TXN-100012,8081,PAY-5487,2134.96,13,False,False,False,True,0.03,0.15,False,0
TXN-100013,5974,PAY-5246,1213.78,18,False,False,False,True,0.24,0.25,False,0
TXN-100014,10684,PAY-5202,1030.25,19,True,False,False,True,1.46,0.29,False,0
TXN-100015,10797,PAY-5547,3213.9,14,False,False,False,True,0.13,0.94,False,0
TXN-100016,2345,PAY-6266,2337.1,13,False,False,True,True,0.14,0.76,False,0
TXN-100017,2715,PAY-5784,1696.13,15,False,False,False,True,0.43,1.0,False,0
TXN-100018,1283,PAY-5121,2261.38,15,False,False,False,True,0.34,0.96,False,0
TXN-100019,9626,PAY-5272,2780.72,19,False,False,False,True,0.84,0.87,False,0
TXN-100020,3024,PAY-5829,3727.67,13,False,False,False,True,5.3,1.12,False,0
TXN-100021,3064,PAY-5312,4324.07,7,False,False,False,True,0.23,0.56,False,0
TXN-100022,7589,PAY-5350,1075.87,17,False,False,False,True,2.34,1.06,False,0
TXN-100023,7250,PAY-5300,6325.07,16,True,False,False,True,1.99,1.29,False,0
TXN-100024,10387,PAY-5177,1100.38,14,False,True,False,True,1.36,1.36,False,0
TXN-100025,3280,PAY-6299,1069.45,17,False,False,False,True,3.8,1.42,False,0
TXN-100026,9066,PAY-5266,3262.75,15,False,False,False,True,3.49,1.08,False,0
TXN-100027,4298,PAY-5324,1665.36,21,True,True,False,True,0.09,1.46,False,0
TXN-100028,8591,PAY-5548,2375.56,19,False,False,False,True,0.05,1.13,False,0
TXN-100029,5163,PAY-5392,10733.74,17,False,False,False,True,0.02,0.89,False,0
TXN-100030,6729,PAY-5181,1355.75,22,False,False,False,True,0.16,1.49,False,0
TXN-100031,1733,PAY-5679,2203.71,13,False,False,False,True,0.08,1.19,False,0
TXN-100032,1378,PAY-5302,775.46,20,False,False,False,True,3.17,0.64,False,0
TXN-100033,7228,PAY-5090,1645.36,7,False,True,False,True,0.35,2.36,False,0
TXN-100034,3981,PAY-5537,815.06,12,True,False,False,True,1.11,-0.11,False,0
TXN-100035,8817,PAY-5540,2745.49,11,False,False,False,True,4.91,0.52,False,0
TXN-100036,10945,PAY-5699,2700.47,15,True,False,False,True,0.98,0.86,False,0
TXN-100037,2367,PAY-6300,1383.3,11,False,False,False,True,1.47,1.11,False,0
TXN-100038,8138,PAY-5804,7375.29,11,False,False,True,True,0.02,1.37,False,0
TXN-100039,7373,PAY-5675,1647.38,7,False,False,False,True,0.01,0.57,False,0
TXN-100040,4614,PAY-6055,5130.33,12,False,False,False,True,4.61,0.62,False,0
TXN-100041,8255,PAY-5781,969.15,18,False,False,False,True,0.0,1.56,False,0
TXN-100042,4894,PAY-5152,2296.1,22,False,False,False,True,1.4,0.89,False,0
TXN-100043,3097,PAY-5283,4320.67,11,False,True,False,True,0.03,1.27,False,0
TXN-100044,2601,PAY-5397,1284.91,16,False,True,False,True,2.08,1.76,False,0
TXN-100045,10653,PAY-5568,3564.89,17,False,False,False,True,0.0,0.91,False,0
TXN-100046,10461,PAY-6261,50.0,11,True,False,False,True,1.38,0.85,False,0
TXN-100047,2987,PAY-5526,404.65,19,False,False,False,True,4.09,1.4,False,0
TXN-100048,6287,PAY-5504,952.6,11,False,False,False,True,0.02,0.76,False,0
TXN-100049,6047,PAY-5151,2182.78,17,False,False,False,True,1.18,0.76,False,0
TXN-100050,10231,PAY-5098,1267.47,15,False,False,False,True,0.02,1.45,False,0
TXN-100051,10189,PAY-5491,831.48,15,False,False,False,True,0.0,1.15,False,0
TXN-100052,7699,PAY-5972,1031.72,17,False,False,False,True,5.49,0.25,False,0
TXN-100053,4622,PAY-5259,4644.08,22,False,False,True,True,2.42,0.81,False,0
TXN-100054,10120,PAY-5524,8159.0,19,False,False,False,True,0.06,1.69,False,0
TXN-100055,9663,PAY-5848,1990.29,17,False,False,False,True,0.05,0.88,False,0
TXN-100056,3446,PAY-6215,3163.64,21,False,False,False,True,0.01,0.73,False,0
TXN-100057,9763,PAY-5381,828.41,14,False,False,False,True,1.1,1.26,False,0
TXN-100058,9791,PAY-5004,1394.4,18,False,False,False,True,0.13,1.48,False,0
TXN-100059,5022,PAY-5765,4636.12,14,False,False,False,True,0.68,0.61,False,0
TXN-100060,6618,PAY-5875,3567.64,13,False,False,False,True,3.97,1.22,False,0
TXN-100061,7921,PAY-5994,1020.13,21,False,False,False,True,2.42,0.83,False,0
TXN-100062,7541,PAY-5571,1502.85,21,False,False,False,True,2.16,1.01,False,0
TXN-100063,5405,PAY-5575,6701.57,10,False,False,False,True,0.67,0.43,False,0
TXN-100064,3402,PAY-5163,4451.49,17,False,False,False,True,0.64,0.44,False,0
TXN-100065,8825,PAY-5661,436.99,10,False,False,False,True,2.0,0.28,False,0
TXN-100066,10826,PAY-6288,69.34,12,False,False,False,True,6.65,0.83,False,0
TXN-100067,5499,PAY-6101,1813.27,22,False,False,False,True,3.64,0.92,False,0
TXN-100068,2055,PAY-5597,413.58,8,False,False,False,True,6.26,-0.42,False,0
TXN-100069,3564,PAY-5878,1798.88,9,False,False,False,True,0.01,0.2,False,0
TXN-100070,2931,PAY-6264,1235.59,8,False,False,False,True,6.07,1.56,False,0
TXN-100071,5395,PAY-6256,821.94,21,False,False,False,True,3.37,1.07,False,0
TXN-100072,6869,PAY-5893,8423.74,14,False,False,False,True,1.82,1.31,False,0
TXN-100073,9674,PAY-6227,1112.55,19,False,False,True,True,5.73,0.87,False,0
TXN-100074,1817,PAY-6159,845.54,16,False,False,False,True,1.02,0.77,False,0
TXN-100075,4010,PAY-5125,4115.84,15,False,False,False,True,0.11,1.45,False,0
TXN-100076,1617,PAY-5176,3205.28,7,False,False,False,True,5.75,0.9,False,0
TXN-100077,3544,PAY-5354,1064.94,20,False,False,False,True,1.09,1.04,False,0
TXN-100078,9872,PAY-5441,1282.74,8,False,False,False,True,0.01,0.08,False,0
TXN-100079,7252,PAY-5841,5555.05,14,False,False,False,True,0.34,1.02,False,0
TXN-100080,5163,PAY-5893,6517.03,11,False,True,False,True,5.46,0.76,False,0
TXN-100081,9293,PAY-5069,2809.23,14,False,False,False,True,0.02,1.51,False,0
TXN-100082,5916,PAY-6134,2071.45,21,True,False,False,True,3.66,1.62,False,0
TXN-100083,4591,PAY-5899,3622.36,11,False,False,False,True,1.5,1.49,False,0
TXN-100084,7540,PAY-5820,2958.45,13,False,False,False,True,0.13,0.42,False,0
TXN-100085,6347,PAY-5535,811.0,10,False,False,False,True,1.07,0.62,False,0
TXN-100086,10598,PAY-5316,1220.82,20,False,True,False,True,0.78,1.26,False,0
TXN-100087,8939,PAY-5548,50.0,14,False,False,False,True,1.15,1.55,False,0
TXN-100088,3258,PAY-6016,2087.68,12,True,False,False,True,8.64,2.07,False,0
TXN-100089,7474,PAY-5613,2076.42,10,False,False,False,True,0.99,1.43,False,0
TXN-100090,3510,PAY-6087,2879.55,13,False,False,False,True,0.02,0.27,False,0
TXN-100091,3516,PAY-6027,1705.65,17,False,True,False,True,1.15,1.22,False,0
TXN-100092,6856,PAY-5658,71123.6,21,False,False,False,True,0.04,1.42,False,0
TXN-100093,4564,PAY-6141,859.32,10,False,True,False,True,0.19,0.47,False,0
TXN-100094,6574,PAY-5656,4584.71,18,False,False,False,True,3.01,1.09,False,0
TXN-100095,3989,PAY-5854,274.46,10,False,False,False,True,0.66,1.02,False,0
TXN-100096,8827,PAY-6049,6224.44,10,False,False,True,True,0.54,1.05,False,0
TXN-100097,10195,PAY-6249,912.78,12,False,True,False,True,0.54,1.23,False,0
TXN-100098,6627,PAY-5169,8801.04,21,False,False,False,True,0.14,0.04,False,0
TXN-100099,2640,PAY-6244,1854.53,8,False,False,False,True,2.23,1.37,False,0
TXN-100100,2123,PAY-5314,567.52,10,False,False,False,True,4.45,0.37,False,0
TXN-100101,6027,PAY-6238,4197.0,13,False,False,False,True,0.8,0.94,False,0
TXN-100102,8037,PAY-5565,50.0,18,False,False,False,True,0.05,0.63,False,0
TXN-100103,5007,PAY-6060,1963.04,8,False,False,False,True,0.32,0.5,False,0
TXN-100104,5459,PAY-5902,3784.19,14,False,False,False,True,4.39,0.8,False,0
TXN-100105,10542,PAY-5076,3819.87,20,False,False,False,True,0.42,1.07,False,0
TXN-100106,5315,PAY-5431,1926.29,15,False,False,False,True,0.28,0.41,False,0
TXN-100107,8077,PAY-6100,1436.45,10,False,False,False,True,0.46,0.68,False,0
TXN-100108,7727,PAY-6155,2217.14,16,False,False,True,True,1.31,1.19,False,0
TXN-100109,10540,PAY-5545,701.29,12,False,False,False,True,0.41,0.86,False,0
TXN-100110,7635,PAY-5494,590.01,9,False,False,False,True,0.1,0.36,False,0
TXN-100111,10728,PAY-5950,1796.94,14,False,False,False,True,1.23,1.1,False,0
TXN-100112,2799,PAY-5253,734.63,14,False,False,False,True,0.59,0.44,False,0
TXN-100113,4748,PAY-5590,3163.81,11,False,False,False,True,0.01,1.11,False,0
TXN-100114,5300,PAY-6099,1998.74,19,False,False,False,True,4.27,1.43,False,0
TXN-100115,8673,PAY-6025,2712.41,18,False,False,False,True,4.81,1.76,False,0
TXN-100116,5430,PAY-6299,719.26,10,False,False,False,True,1.21,-0.04,False,0
TXN-100117,7130,PAY-5958,1626.47,7,False,False,False,True,0.49,1.7,False,0
TXN-100118,3369,PAY-6099,295.72,9,False,False,False,True,1.98,0.66,False,0
TXN-100119,10537,PAY-5705,8576.67,21,False,False,False,True,3.93,1.02,False,0
TXN-100120,6934,PAY-6028,191.51,22,True,False,False,True,0.18,1.43,False,0
TXN-100121,9699,PAY-5538,1442.55,14,False,False,False,True,0.0,0.45,False,0
TXN-100122,3747,PAY-5489,4259.27,20,False,False,False,True,1.82,1.18,False,0
TXN-100123,5948,PAY-5910,50.0,8,True,True,False,True,1.13,0.6,False,0
TXN-100124,7561,PAY-6215,554.57,8,False,False,False,True,3.32,0.29,False,0
TXN-100125,5170,PAY-6010,1090.88,7,False,False,False,True,2.95,0.22,False,0
TXN-100126,5024,PAY-5596,1041.51,15,True,False,False,True,0.0,0.82,False,0
TXN-100127,6572,PAY-5086,429.43,16,False,False,False,True,0.97,1.4,False,0
TXN-100128,7109,PAY-5825,2997.35,20,True,False,False,True,1.52,1.38,False,0
TXN-100129,7362,PAY-5207,388.54,18,True,False,False,True,0.32,1.2,False,0
TXN-100130,1512,PAY-5081,2806.09,14,False,False,True,True,6.65,-0.01,False,0
TXN-100131,7279,PAY-5943,496.52,20,False,False,False,True,0.44,1.69,False,0
TXN-100132,9010,PAY-6113,1565.83,17,False,False,False,True,0.15,0.5,False,0
TXN-100133,6122,PAY-5643,4979.1,13,False,False,False,True,2.02,1.02,False,0
TXN-100134,2800,PAY-5748,1344.15,13,False,False,False,True,1.24,0.98,False,0
TXN-100135,10591,PAY-5869,1924.43,9,False,False,False,True,0.72,0.9,False,0
TXN-100136,4244,PAY-5878,6649.42,20,False,False,False,True,0.61,1.16,False,0
TXN-100137,6834,PAY-6080,301.21,10,False,True,False,True,0.72,0.44,False,0
TXN-100138,3099,PAY-5273,1462.4,11,False,False,False,True,0.44,1.34,False,0
TXN-100139,4501,PAY-5473,896.07,8,False,False,False,True,2.41,0.57,False,0
TXN-100140,1120,PAY-5153,373.63,10,False,True,False,True,0.35,1.3,False,0
TXN-100141,6078,PAY-5338,2318.04,7,False,False,False,True,0.0,1.25,False,0
TXN-100142,8082,PAY-5830,780.31,10,False,False,False,True,0.01,0.7,False,0
TXN-100143,10303,PAY-5848,433.81,8,False,False,False,True,0.0,1.33,False,0
TXN-100144,5392,PAY-6066,1222.58,11,False,False,False,True,0.49,1.67,False,0
TXN-100145,1181,PAY-5106,1045.92,14,False,False,False,True,1.09,0.52,False,0
TXN-100146,6968,PAY-6288,8519.05,14,False,False,False,True,1.71,0.84,False,0
TXN-100147,7388,PAY-5052,703.35,20,False,False,False,True,0.51,0.61,False,0
TXN-100148,7801,PAY-5486,1600.07,20,False,False,False,True,2.63,1.41,False,0
TXN-100149,5333,PAY-5140,488.6,12,True,False,False,True,0.12,1.33,False,0
TXN-100150,7396,PAY-5879,1101.29,17,False,False,False,True,2.76,1.45,False,0
TXN-100151,3105,PAY-5402,5130.82,17,False,False,False,True,0.08,0.86,False,0
TXN-100152,3727,PAY-5661,4017.4,11,False,False,False,True,0.25,1.44,False,0
TXN-100153,2773,PAY-6200,4865.92,11,False,False,False,True,0.19,1.44,False,0
TXN-100154,3405,PAY-5683,1752.4,9,False,False,False,True,2.04,0.67,False,0
TXN-100155,6218,PAY-5925,1606.99,22,False,False,False,True,1.75,0.87,False,0
TXN-100156,7100,PAY-5440,3382.52,17,False,False,False,True,0.0,0.64,False,0
TXN-100157,5693,PAY-5157,1054.0,16,True,False,False,True,0.11,1.44,False,0
TXN-100158,9722,PAY-5702,1295.35,16,True,False,False,True,0.03,1.08,False,0
TXN-100159,9376,PAY-5038,3589.59,21,False,False,False,True,0.33,1.38,False,0
TXN-100160,9846,PAY-5206,345.09,10,False,False,False,True,0.26,0.67,False,0
TXN-100161,8027,PAY-6051,63.17,18,False,False,False,True,0.06,1.34,False,0
TXN-100162,5579,PAY-6018,3071.64,9,False,False,False,True,3.3,1.11,False,0
TXN-100163,3717,PAY-5058,7680.06,17,False,False,False,True,7.94,0.36,False,0
TXN-100164,4250,PAY-5498,2751.98,11,False,False,False,True,2.72,0.57,False,0
TXN-100165,2824,PAY-5379,1536.22,21,False,False,False,True,2.01,0.32,False,0
TXN-100166,1188,PAY-5401,2627.26,16,True,False,False,True,0.05,0.93,False,0
TXN-100167,5770,PAY-5960,2213.46,7,False,True,False,True,0.96,1.31,False,0
TXN-100168,7911,PAY-5990,2424.06,14,False,False,False,True,0.15,0.8,False,0
TXN-100169,8620,PAY-5773,953.1,19,True,False,True,True,1.66,1.02,False,0
TXN-100170,7899,PAY-5989,2489.34,8,False,False,False,True,0.25,0.55,False,0
TXN-100171,2537,PAY-6022,2104.36,7,True,False,False,True,2.45,1.19,False,0
TXN-100172,9457,PAY-5809,2292.47,20,False,False,False,True,0.21,0.66,False,0
TXN-100173,7389,PAY-6177,6776.75,16,False,False,False,True,1.99,1.24,False,0
TXN-100174,3652,PAY-5793,2347.42,20,False,False,False,True,0.02,0.3,False,0
TXN-100175,5206,PAY-6260,598.12,13,False,False,False,True,0.37,0.14,False,0
TXN-100176,2366,PAY-5822,422.03,14,True,False,False,True,0.0,1.2,False,0
TXN-100177,4780,PAY-6248,84.25,17,False,False,False,True,1.2,1.2,False,0
TXN-100178,10325,PAY-5068,532.55,10,False,False,False,True,3.83,1.11,False,0
TXN-100179,1254,PAY-5470,1715.69,18,False,False,False,True,1.86,1.47,False,0
TXN-100180,2876,PAY-6221,2657.46,16,False,False,False,True,0.52,1.52,False,0
TXN-100181,7124,PAY-6145,1142.35,19,False,False,False,True,0.71,0.5,False,0
TXN-100182,3330,PAY-6187,5519.59,11,False,False,False,True,0.02,1.19,False,0
TXN-100183,3870,PAY-5242,2458.9,18,False,False,False,True,1.51,1.0,False,0
TXN-100184,5080,PAY-5816,1234.12,15,False,False,False,True,0.09,1.64,False,0
TXN-100185,3816,PAY-5823,1339.8,14,False,False,False,True,2.7,1.1,False,0
TXN-100186,10362,PAY-5052,955.77,20,False,False,False,True,0.0,1.02,False,0
